ZL1BYP	Whangaparaoa   36.6344S	174.7422E
AOS:		
Sample	Dif Phase	TEC
408	0          0	
409	4.065624	0.6146998
410	2.754718	0.4164981
411	2.742379	0.4146325
412	0.2386093	0.0360764
413	5.790129	0.8754352
414	0.1351707	0.02043706
415	4.250257	0.6426152
416	1.114197	0.1684604
417	0.3217568	0.04864784
418	6.075696	0.9186115
419	0.6045986	0.09141194
420	3.840246	0.5806238
421	3.820249	0.5776004
422	0.8902752	0.1346047
423	3.345337	0.5057964
424	0.7247865	0.1095837
425	2.613519	0.3951496
426	0.3625381	0.05481374
427	0.3906133	0.05905856
428	0.07587123	0.01147131
429	3.151592	0.4765032
430	4.270014	0.6456024
431	2.18061	0.3296961
432	1.88073	0.2843559
433	1.197538	0.1810611
434	0.9707396	0.1467704
435	3.982491	0.6021304
436	0          0	
437	6.085785	0.9201368
438	5.454331	0.8246645
439	6.038208	0.9129434
440	0.3686957	0.05574474
441	1.209355	0.1828478
442	5.377164	0.8129973
443	6.002649	0.9075671
444	0.9928946	0.1501202
445	5.75769	0.8705308
446	5.694261	0.8609405
447	6.064517	0.9169213
448	6.283179	0.9499817
449	2.647651	0.4003101
450	5.90268	0.8924524
451	5.944667	0.8988006
452	0.9638147	0.1457234
453	4.986454	0.7539242
454	0.6976528	0.1054812
455	5.961436	0.901336
456	5.867115	0.8870751
457	3.376598	0.5105228
458	0.1853542	0.02802453
459	1.014197	0.153341
460	0.3465388	0.05239474
461	3.421543	0.5173183
462	5.747079	0.8689263
463	2.220668	0.3357526
464	5.379484	0.813348
465	3.171887	0.4795717
466	3.141594	0.4749915
467	2.869595	0.4338667
468	5.819539	0.8798819
469	2.738846	0.4140983
470	5.438256	0.822234
471	0.7590885	0.11477
472	6.206414	0.9383752
473	5.057264	0.7646301
474	2.750987	0.4159339
475	0.5191524	0.07849295
476	0.6564109	0.09924568
477	6.020197	0.9102203
478	6.240839	0.9435802
479	0.6171851	0.09331495
480	0.3985224	0.06025438
481	3.79147	0.5732492
482	5.587178	0.8447502
483	0.8831646	0.1335296
484	1.936005	0.2927132
485	2.329175	0.3521583
486	0.1483278	0.02242634
487	0.199549	0.03017069
488	0.3217504	0.04864687
489	4.127788	0.6240985
490	6.115755	0.9246681
491	0.07030654	0.01062996
492	6.164019	0.9319653
493	3.341935	0.5052819
494	5.74689	0.8688978
495	6.12181	0.9255837
496	0.4834535	0.07309548
497	3.324703	0.5026767
498	5.873059	0.8879738
499	0.6510706	0.09843825
500	3.543173	0.535708
501	1.107142	0.1673937
502	6.090791	0.9208937
503	3.996786	0.6042918
504	0.1466665	0.02217516
505	5.519699	0.8345478
506	0.106813	0.01614952
507	2.504516	0.3786688
508	2.754822	0.4165137
509	3.301882	0.4992262
510	3.800292	0.574583
511	0.1798472	0.0271919
512	3.08808	0.4669005
513	5.942933	0.8985384
514	6.631379	1.002628
515	6.218061	0.9401362
516	2.429823	0.3673757
517	2.754718	0.416498
518	3.338989	0.5048366
519	0.4939349	0.0746802
520	0.1916873	0.02898206
521	3.301377	0.4991498
522	0.193398	0.0292407
523	5.881599	0.8892651
524	2.887737	0.4366098
525	0.0331068	0.005005565
526	0.7720654	0.116732
527	5.714668	0.864026
528	2.693651	0.4072651
529	3.802643	0.5749384
530	0.2140543	0.03236382
531	4.138083	0.6256552
532	6.076982	0.918806
533	0.9732398	0.1471484
534	2.966	0.4484427
535	5.879616	0.8889652
536	0.2954347	0.04466809
537	0.2847238	0.04304865
538	0.2419143	0.03657609
539	5.16083	0.7802887
540	5.206849	0.7872466
541	2.246552	0.3396661
542	0.02840996	0.004295427
543	5.607232	0.8477823
544	2.859601	0.4323558
545	0.06198955	0.009372475
546	5.705284	0.8626072
547	0.9964979	0.1506649
548	0.3529966	0.05337112
549	5.733161	0.8668221
550	5.366954	0.8114536
551	3.822115	0.5778825
552	0.2895038	0.04377137
553	1.093816	0.1653789
554	6.173626	0.933418
555	3.519623	0.5321474
556	0.3217568	0.04864784
557	3.092182	0.4675207
558	3.357467	0.5076303
559	0.2819986	0.04263663
560	0.3743336	0.05659716
561	3.14835	0.476013
562	5.476046	0.8279476
563	0.9009702	0.1362217
564	6.153867	0.9304304
565	0.06548023	0.009900247
566	5.627369	0.8508269
567	2.687629	0.4063546
568	1.147942	0.1735625
569	0.2013173	0.03043806
570	0.3985226	0.0602544
571	2.411694	0.3646347
572	2.822759	0.4267854
573	4.041246	0.6110139
574	1.971707	0.2981111
575	6.019789	0.9101586
576	5.247723	0.7934265
577	5.53168	0.8363592
578	2.123271	0.3210267
579	0.04542303	0.00686771
580	0.4502664	0.06807777
581	0.472219	0.07139689
582	1.079109	0.1631553
583	3.017231	0.4561885
584	3.423372	0.5175948
585	3.465574	0.5239755
586	6.047484	0.914346
587	2.281221	0.3449079
588	5.753243	0.8698584
589	0.114254	0.01727457
590	6.158831	0.931181
591	6.118031	0.9250122
592	5.569101	0.8420171
593	3.434162	0.5192261
594	3.141593	0.4749914
595	6.173543	0.9334053
596	0.0665682	0.01006474
597	0.4392619	0.06641395
598	1.919112	0.290159
599	2.87599	0.4348337
600	3.651566	0.5520965
